City,State,population,Poverty,Diversity,Employment,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Mean,Income,Stdev,Income
Juncos,PR,1767656,108.69999999999999,1880.8100000000002,1066045.28,84,504,94,581,865,1032,758,9,1177,30,981,703,1230,252,1107,251,1197,873,932,873
Junction,TX,169312,81.0,4982.6900000000005,129741.12,741,445,927,764,4,562,1078,548,1250,756,726,1238,891,3,787,892,711,361,875,361
Junction City,KS,1162832,35.5,5648.1900000000005,541261.04,1243,1214,1195,748,281,1092,1157,37,551,15,599,1273,1132,893,1239,947,130,271,460,271
Juneau,AK,1273272,28.6,4180.78,1084632.6400000001,424,634,1053,746,35,1339,1158,590,458,753,504,12,82,363,913,954,685,1126,606,1126
Kahuku,HI,143000,35.3,1633.5500000000002,27693464.319999997,662,798,1254,1252,928,883,1099,4,794,616,174,1240,1224,1214,772,951,162,1119,931,1119
Kansas City,KS,6514112,98.5,3425.76,4287933.4399999995,1033,542,127,464,1165,519,828,557,127,1327,232,86,590,584,477,893,40,958,1036,958
Kansas City,MO,23593240,59.3,5220.125,10188957.84,308,491,247,0,214,868,251,563,1120,891,62,1041,534,249,460,226,1011,15,898,15
Katy,TX,10982620,30.599999999999998,2960.05,19123867.12,1186,631,72,656,51,1305,800,46,249,342,498,1064,147,965,1115,980,325,823,461,823
Kaukauna,WI,1083412,32.3,5477.009999999999,5869298.4799999995,588,104,490,326,460,168,273,20,902,893,1147,138,1216,675,214,981,740,1148,489,1148
Kearney,NE,1569480,39.5,5502.370000000001,1657727.5999999999,744,528,615,1004,100,1252,133,546,558,440,950,1042,256,411,1326,263,1264,148,37,148
Kelso,WA,1066252,65.9,5315.430000000001,2457833.84,380,668,364,588,538,136,303,1101,1196,522,1316,185,1040,80,193,1004,1048,664,152,664
Kenai,AK,660440,33.6,5044.7,1559098.0799999998,465,812,337,913,732,1127,71,1072,101,650,528,763,1223,1313,289,880,1254,1249,1018,1249
Kennett,MO,557568,113.1,4589.5199999999995,390957.43999999994,315,1206,620,1047,786,1204,845,145,1,168,1288,707,775,232,375,949,1265,580,399,580
Kent,OH,1894420,57.800000000000004,5576.910000000001,4958216.24,842,900,770,716,297,374,53,28,1152,907,684,567,870,81,592,246,583,787,287,787
Kenton,OH,583132,70.9,5831.830000000001,841118.7199999999,1026,1242,953,1350,204,349,93,1166,1150,805,398,61,1273,1083,65,232,1306,354,1241,354
Keota,OK,117788,71.0,4475.8099999999995,279109.04,116,335,1087,1336,110,259,99,279,1167,178,1227,624,1075,176,669,930,1081,959,656,959
Kermit,TX,266156,49.699999999999996,3483.55,198974.8,112,84,685,1330,771,882,1371,845,174,655,1127,1070,759,1365,1204,177,1318,1317,185,1317
Kernersville,NC,2222440,67.80000000000001,3780.19,14357656.96,612,847,423,1268,437,574,1357,1037,928,1243,794,1368,1242,773,681,993,1124,839,243,839
Kewanee,IL,605880,38.5,5644.57,1431702.56,132,221,949,290,1188,347,388,967,1308,885,1059,84,1174,456,1242,197,541,654,541,654
Kilmarnock,VA,122276,43.4,4641.789999999999,305617.83999999997,691,348,296,180,382,1267,643,833,1235,150,1077,531,31,708,928,991,715,1310,743,1310
Kinderhook,IL,15488,45.099999999999994,5840.839999999999,437797.12,158,545,448,982,1318,1236,562,1164,657,346,828,685,466,557,39,198,881,582,511,582
King William,VA,140932,55.0,4891.820000000001,484909.27999999997,150,819,1239,96,1322,1075,853,854,74,1200,778,926,386,167,1368,200,402,1247,1129,1247
Kingsport,TN,3731992,71.3,5744.99,4032151.84,940,17,835,769,413,603,217,282,966,1196,905,347,83,726,1364,202,953,682,357,682
Kingston,NY,1497408,40.8,5130.350000000001,5205878.159999999,763,769,1025,869,999,689,1223,321,998,1201,1202,866,1362,906,203,985,517,892,196,892
Kingston,OK,318780,62.2,4404.490000000001,367408.31999999995,838,1178,330,234,480,909,105,91,497,634,1232,542,204,114,267,934,687,998,472,998
Kirksville,MO,928796,66.9,5630.900000000001,674946.48,849,639,292,890,667,787,839,577,593,518,1327,1051,1126,1004,1287,227,791,624,538,624
Kissimmee,FL,9946904,77.7,3269.3500000000004,7992544.16,844,31,422,387,552,593,781,652,962,32,891,986,349,939,1232,189,277,451,677,451
Klamath Falls,OR,2238852,68.1,5065.72,1566268.48,294,850,1114,347,1370,779,930,1191,404,1338,0,1164,901,891,1302,1035,996,266,239,266
Klingerstown,PA,35728,52.300000000000004,5688.14,3846796.1599999997,314,974,1223,401,407,1055,1036,339,79,129,715,1248,905,929,1268,491,216,34,1134,34
Kulm,ND,22264,32.5,5829.75,81944.63999999998,319,913,608,618,950,684,1332,349,301,391,617,992,289,943,871,176,455,603,557,603
La Grande,OR,723096,64.4,5533.09,670537.5199999999,390,222,392,992,634,97,1134,1104,937,1181,225,894,236,1129,1168,1284,931,1361,1347,1361
La Junta,CO,424380,99.19999999999999,4091.0600000000004,74014.95999999999,363,1270,483,314,989,1190,732,791,35,381,210,73,730,1231,1006,54,1040,1035,1062,1035
Labelle,FL,883916,77.6,4257.799999999999,225526.47999999998,968,1210,1151,443,642,1104,1114,381,697,1214,652,898,1266,1149,819,55,1253,1270,1186,1270
Lafayette,CO,1150336,40.5,5046.900000000001,10135659.919999998,214,716,865,1305,1121,786,276,1351,478,780,351,55,921,1185,885,57,297,495,1257,495
Lajas,PR,1120636,197.3,1854.21,301893.12,515,294,1063,1013,1356,438,880,1257,17,119,397,1054,576,628,1350,1268,1196,405,1319,405
Lake Butler,FL,537328,75.6,4642.990000000001,240922.64,487,453,988,328,213,440,521,1252,948,373,55,324,633,172,1272,61,1129,1336,765,1336
Lake Oswego,OR,1832776,33.5,5240.800000000001,11288453.36,860,18,626,286,466,524,501,404,1363,364,193,915,178,1068,920,1261,1036,956,155,956
Lake Placid,FL,917268,81.4,4667.170000000001,1893286.16,698,1212,820,94,256,1080,525,827,362,1163,627,713,1039,192,447,66,1105,143,546,143
Lake Village,IN,145332,60.900000000000006,5703.65,374025.68,239,1046,363,304,1004,659,1285,261,276,353,508,394,103,1095,651,1255,12,395,310,395
Lake Wales,FL,928004,75.7,4348.04,14948277.919999998,531,672,1250,319,770,590,287,107,1194,1232,574,808,1167,416,396,69,30,1086,1232,1086
Lakeville,CT,83028,22.2,5591.830000000001,5976553.5200000005,1309,93,21,624,559,1249,159,1302,496,154,667,768,1069,1282,707,1250,1183,977,771,977
Lamesa,TX,572308,47.5,3977.9800000000005,142530.80000000002,1311,78,628,321,1237,142,1085,1332,1210,732,148,566,1338,988,614,1246,509,1236,1346,1236
Lampasas,TX,496716,69.6,4954.37,1135518.3199999998,134,202,638,526,435,657,1060,619,1236,175,538,1307,887,104,698,1245,547,227,405,227
Lancaster,SC,1991132,73.5,4643.440000000001,2015968.88,508,988,807,603,619,345,1197,158,773,133,2,1134,362,354,955,72,1095,113,975,113
Landrum,SC,348832,68.3,4598.01,7798131.279999999,243,1055,969,554,305,406,717,161,666,691,58,264,252,166,36,73,929,61,645,61
Laredo,TX,10849828,117.6,1994.96,6019192.0,204,203,1169,1083,539,10,381,1050,877,1097,653,260,450,1113,441,1239,794,151,1021,151
Lares,PR,1285592,186.89999999999998,1854.7199999999998,378643.84,234,473,926,897,663,967,780,1334,426,27,247,238,1017,1257,213,1232,209,158,12,158
Las Piedras,PR,1667688,360.00000000000006,1850.255,1061904.48,168,648,992,153,283,617,1164,1054,539,249,187,1023,360,799,105,80,1326,727,129,727
Laurel,IN,140360,80.4,5864.670000000001,562570.32,774,1269,494,1029,219,1,261,166,1078,976,651,423,830,265,110,81,708,1277,923,1277
Laurel,MT,473484,24.400000000000002,5762.340000000001,272950.72,1126,211,1214,780,286,772,779,1319,378,1103,223,453,1073,534,255,82,615,1101,1096,1101
Lawrence,KS,4083552,46.6,5039.25,3762600.0,647,239,1155,850,917,150,58,174,133,1107,204,477,1003,473,1175,1222,512,461,685,461
Lawrence,MA,3315928,44.199999999999996,4855.91,23340327.439999998,1299,1139,625,986,342,1331,1176,611,1002,684,1086,586,409,520,1173,86,175,792,1238,792
Leadore,ID,15048,75.3,5738.9,192671.12,384,279,1277,917,117,35,1351,1335,405,963,275,608,1371,1253,769,1217,1134,469,1068,469
Leakesville,MS,313104,35.5,4689.9800000000005,240957.92,242,521,961,137,41,807,981,1062,1296,554,764,821,729,69,770,1216,596,1188,654,1188
Leakey,TX,77044,69.80000000000001,5192.2300000000005,61027.2,702,20,170,1287,186,1290,5,189,1155,712,607,155,367,1191,336,1212,722,430,1017,430
Leicester,NC,492096,67.30000000000001,5775.53,543534.16,1304,1325,33,251,139,128,796,607,209,300,333,668,854,961,883,93,1304,641,5,641
Leitchfield,KY,664708,92.8,5827.02,629158.16,767,923,1075,97,167,533,1029,1065,724,661,336,794,604,868,1104,1204,580,239,960,239
Lenoir City,TN,1143648,71.8,5552.220000000001,1210816.0799999998,372,353,829,1340,1311,827,1286,604,110,41,337,867,72,1276,368,94,928,1305,1072,1305
Leoti,KS,83424,26.1,4695.050000000001,65603.12,1030,1073,192,916,1048,636,958,629,979,26,1002,580,855,771,532,96,358,1155,659,1155
Leroy,MI,137456,92.8,5818.05,535869.36,1312,86,414,53,404,930,157,202,1281,475,442,45,354,573,141,1289,581,770,1372,770
Leslie,AR,80036,85.0,5749.55,172660.08,117,877,455,1061,22,759,476,209,1093,1273,984,224,792,903,630,1198,1346,466,280,466
Lewisport,KY,166496,70.0,5856.9,221968.87999999998,1226,405,417,1147,886,1356,534,212,993,726,485,928,33,768,588,1293,183,634,1225,634
Lewiston,UT,96756,45.4,5310.11,3317828.4,685,74,1300,1018,1112,1260,181,602,1278,532,489,625,381,1242,379,40,399,930,158,930
Lewistown,MT,385880,39.3,5750.71,339324.72000000003,823,911,740,318,958,1268,437,600,772,572,935,249,516,566,611,1,1220,123,626,123
Lexington,KY,12876380,131.3,5054.325000000001,10104524.16,430,1186,696,1070,1173,1285,1040,1073,965,671,525,1028,453,896,967,1369,728,1206,1328,1206
Lexington,VA,714604,54.2,4826.820000000001,126691.43999999999,867,1275,751,1306,92,1079,1050,878,319,1115,901,640,122,859,1139,1368,751,458,1308,458
Lidgerwood,ND,49368,16.8,5799.919999999999,126389.43999999999,192,870,109,1205,1296,1049,799,875,29,938,253,615,944,1,634,2,310,699,249,699
Lima,OH,3741188,100.4,5521.969999999999,4276195.039999999,1146,1274,164,772,69,1311,513,412,487,533,141,966,593,468,528,1365,537,1094,1289,1094
Lincoln,IL,873796,49.599999999999994,4915.18,660350.5599999999,666,12,161,30,357,846,1039,238,1218,58,879,369,101,1317,464,1364,1019,1288,968,1288
Lincoln,KS,83204,38.8,5822.58,91272.4,166,137,1034,316,1030,978,1219,1304,1027,956,1341,699,1091,168,1217,1360,663,922,619,922
Lincoln,NE,11504504,49.3,5229.330000000001,9780852.719999999,802,675,4,105,1338,1183,220,1179,826,224,98,111,63,775,470,9,737,899,522,899
Linden,MI,639012,20.700000000000003,5797.88,5597965.68,359,883,964,233,585,686,355,762,1112,842,1319,658,414,189,6,12,1055,753,236,753
Linden,TN,237776,101.8,5719.340000000001,171767.59999999998,985,664,990,575,1309,343,1230,1200,1203,380,728,98,518,1233,57,1353,578,620,542,620
Lisbon,OH,594704,63.0,5777.920000000001,2832234.4,1009,125,1193,1315,940,536,1345,1263,1295,261,1350,599,412,718,861,1352,70,763,1177,763
Lisbon Falls,ME,208560,62.7,5598.620000000001,3220311.04,765,143,426,1322,1190,26,243,558,131,262,46,1141,842,745,1283,1349,731,780,61,780
Litchfield,IL,379192,50.1,5878.27,1283134.72,1231,529,303,1227,941,468,1314,443,1195,843,723,389,1182,289,508,1347,1084,246,1128,246
Litchfield,MN,410344,35.7,5820.38,697985.84,853,522,712,20,792,326,92,513,1249,252,534,909,550,51,18,17,166,327,282,327
Lithonia,GA,3947680,79.5,2712.26,20968903.76,67,700,1206,779,101,1035,1368,527,55,397,968,980,610,183,50,1341,648,1306,1077,1306
Little Falls,NJ,1129172,67.3,3525.54,13969866.719999999,654,1256,332,1182,495,1173,1221,561,260,1076,977,963,1,1139,483,1340,647,668,785,668
Little Mountain,SC,128524,71.80000000000001,4189.0,960067.0399999999,1284,1368,235,231,1337,339,80,1130,1238,137,980,0,382,894,778,1335,861,308,1206,308
Littlefork,MN,56804,51.400000000000006,5699.960000000001,357627.36,342,977,1054,1062,531,46,286,481,382,1053,588,511,1348,514,534,1334,990,21,13,21
Lockhart,TX,738276,67.9,3577.65,1015138.2399999999,141,133,265,108,1367,1063,983,468,611,401,140,327,75,1164,148,21,548,672,1048,672
Locust,NC,232892,67.9,5166.7300000000005,1587419.0399999998,635,1294,825,128,1357,1159,915,673,617,566,1060,295,223,840,1316,1330,1350,1255,1326,1255
Locust Grove,OK,295812,82.0,3181.4700000000003,1174600.88,1366,985,1016,1317,1060,728,419,543,339,1026,600,214,163,870,530,26,950,636,715,636
Locust Hill,VA,24464,38.5,5028.639999999999,268010.16000000003,875,345,505,541,320,709,529,1230,438,223,285,522,705,428,201,30,970,1307,1278,1307
Logan,NM,52052,56.7,3968.44,178765.6,1354,1040,321,69,837,1264,443,1118,345,135,263,1127,1285,884,927,1319,957,310,1030,310
Logan,OH,795124,69.8,5887.310000000001,742071.6,251,1037,906,1358,1057,1086,673,662,572,395,258,461,1237,112,220,33,779,29,1067,29
Loiza,PR,1002144,159.9,1848.15,514361.43999999994,772,352,397,535,844,176,372,1192,1261,839,1128,975,207,634,601,1316,697,563,298,563
Lombard,IL,2205720,28.0,4539.8,29159467.999999996,711,505,714,93,751,178,1025,486,1225,1190,1175,39,213,217,915,1315,843,421,69,421
Lonaconing,MD,119680,117.4,5668.345000000001,2653978.4,710,1228,220,1169,1303,475,1020,423,1285,528,21,969,416,402,1049,1310,280,116,675,116
Long Beach,MS,731984,84.0,4383.5,5041369.04,966,1187,1335,350,970,703,567,728,4,991,1301,25,1053,266,683,1309,925,1351,902,1351
Longview,TX,4419712,72.0,4196.530000000001,3368672.8799999994,461,881,847,305,1282,1314,348,8,1223,322,937,1249,1028,179,263,1303,1223,1170,1233,1170
Los Angeles,CA,103368320,69.8,2711.96,281836664.0,925,1112,101,1162,691,891,1083,778,13,609,546,1047,259,787,1183,43,845,5,1212,5
Los Gatos,CA,2027520,49.300000000000004,4178.76,7984614.72,953,572,577,857,175,98,932,1009,917,176,673,516,1201,705,42,1036,361,551,1082,551
Lost Creek,KY,53328,117.1,5915.01,258217.27999999997,305,1136,360,791,223,658,1148,876,911,945,536,178,1102,1244,711,1197,985,393,966,393
Louisiana,MO,196724,55.099999999999994,5493.250000000001,444094.8,665,809,1100,922,1351,585,15,1341,1172,174,533,797,1185,1027,878,98,1337,587,592,587
Louisville,KY,31788416,64.8,4587.64,21980137.28,254,189,1240,1275,859,856,870,243,543,946,532,875,1340,518,950,1123,478,822,1345,822
Lovelady,TX,219692,108.2,4289.66,468046.07999999996,572,781,902,783,1267,458,435,276,545,536,657,555,527,156,290,1122,50,1070,688,1070
Lubbock,TX,11025740,66.19999999999999,4091.1100000000006,8603017.44,1332,836,333,773,975,1034,727,1342,295,955,249,1308,812,1003,217,134,870,193,648,193
Luck,WI,171776,62.0,5535.259999999999,393305.19999999995,562,630,1172,265,150,947,491,1181,879,894,512,53,393,1059,343,1120,860,333,779,333
Lufkin,TX,2723160,79.4,4343.48,2200222.3200000003,1319,497,784,1134,957,334,898,665,870,186,505,1239,269,258,1353,135,407,621,641,621
Luquillo,PR,870056,156.8,1910.36,343178.0,1064,659,930,699,183,126,1284,724,510,617,169,940,1246,916,1345,137,1340,165,915,165
Lutcher,LA,157872,73.8,3601.08,549759.2,120,470,1357,871,3,655,1076,293,1364,964,1358,1353,472,1127,60,1116,328,397,251,397
Luverne,MN,253968,47.9,5629.139999999999,278142.24,859,1162,733,1253,823,610,395,310,1192,1160,660,114,226,1227,55,1115,410,915,78,915
Lyford,TX,175956,137.4,2271.0200000000004,326642.8,209,466,255,1075,134,214,1100,312,277,541,910,962,806,228,1159,140,862,1304,1370,1304
Lynchburg,VA,4264128,210.9,4774.220000000001,4078481.1199999996,1278,1310,876,123,1090,1047,739,966,348,542,178,1365,192,1207,995,1107,770,818,178,818
Lyndhurst,NJ,881012,25.4,4093.39,27944664.4,747,1027,1076,465,424,112,857,113,670,981,145,1072,1024,1199,930,1105,48,946,162,946
Macon,GA,7177544,152.0,3991.9600000000005,4319460.88,592,322,768,1173,1168,114,1151,632,333,361,1365,671,931,713,606,1104,955,894,228,894
Madison,CT,782716,51.4,4453.26,25530353.199999996,1250,128,938,367,202,637,1205,117,761,1165,1339,113,686,683,1001,145,1014,1128,610,1128
Madison,SD,358688,66.8,5758.08,393426.87999999995,577,321,186,1280,806,294,928,47,793,620,1088,250,69,661,412,147,362,485,101,485
Magnolia,TX,2371380,64.8,3482.07,1224046.96,92,633,757,687,966,1154,784,1043,180,151,250,109,344,1109,746,148,239,648,842,648
Maiden,NC,515592,63.1,5374.950000000001,2225983.84,392,1371,38,169,828,899,573,127,1026,866,1315,584,557,550,771,1096,659,492,19,492
Manassas,VA,6008288,65.80000000000001,3362.8849999999998,1796498.48,1067,998,97,694,1001,151,1051,620,597,865,863,513,517,1071,31,1095,250,177,91,177
Manati,PR,1924472,156.8,1890.57,686078.48,1333,607,276,227,856,970,518,933,402,1171,384,135,334,136,252,1094,804,303,1320,303
Mancelona,MI,295548,58.2,5795.1,414759.68,1306,782,64,1122,976,147,583,1032,1060,366,900,939,651,757,1294,1090,956,1048,955,1048
Manhattan,KS,2641496,45.5,4958.410000000001,2078736.16,68,152,877,1063,187,1293,868,928,136,988,1184,557,61,1261,1095,1086,458,241,711,241
Mankato,KS,48840,69.3,5840.0,89352.4,550,395,970,282,784,1165,140,1002,1123,202,586,905,722,204,137,1085,396,934,1279,934
Mansfield,GA,131384,64.9,3704.34,2653713.76,1346,341,355,768,1106,264,289,171,1096,982,840,918,571,1170,1102,155,302,1082,870,1082
Mansfield Center,CT,208076,20.2,5380.960000000001,4875818.56,1034,762,447,856,243,482,27,1,630,1041,199,1216,1276,709,820,1079,426,437,1196,437
Manville,RI,140360,70.1,4382.620000000001,18320506.799999997,927,835,1008,623,1032,673,871,180,788,746,79,1287,1199,544,677,158,228,264,430,264
Maple Park,IL,176880,62.7,5049.87,3139937.28,180,6,991,394,815,785,1086,1317,410,725,1193,844,104,236,409,1073,750,462,407,462
Mardela Springs,MD,113652,55.9,4369.08,2915522.56,1112,1367,149,327,1265,48,825,622,187,94,151,219,473,461,994,1070,460,533,704,533
Marengo,IA,165264,37.7,5870.2300000000005,536204.9600000001,1160,1169,627,148,789,1223,1313,1038,729,766,1204,494,1274,830,1067,166,675,785,1083,785
Marengo,IN,116116,76.9,5876.570000000001,260057.12,831,423,798,140,775,706,686,521,202,34,1211,549,894,1126,1092,1049,1347,296,1093,296
Margaretville,NY,82764,68.1,5704.23,1207252.4,186,426,183,1085,995,678,1198,515,41,785,1295,688,123,483,123,174,698,331,786,331
Marianna,FL,851532,62.3,4953.120000000001,288280.0,311,431,489,876,960,1261,229,192,170,784,924,1343,94,1208,1130,133,470,877,740,877
Maricao,PR,286484,227.39999999999998,1849.49,91619.44,1362,396,924,885,318,1365,733,605,596,680,920,330,437,368,1176,1196,628,247,637,247
Marienville,PA,181852,89.3,4365.16,76552.96,202,303,302,155,1139,444,1144,199,1073,1258,515,75,48,611,101,132,116,1279,470,1279
Marietta,GA,13157760,47.199999999999996,3903.29,22301328.0,686,1123,1267,583,299,276,728,494,1197,120,1360,1181,935,648,1228,129,577,285,834,285
Marion,IN,1909556,118.19999999999999,5820.1449999999995,1727276.72,603,574,352,1344,1131,90,320,1368,1077,117,470,364,264,294,522,99,1128,86,494,86
Marion,VA,659912,78.3,5790.040000000001,807553.2799999999,667,293,901,1285,258,83,716,224,264,40,1063,1118,1346,279,1246,1192,771,489,1290,489
Marmaduke,AR,130196,63.400000000000006,5787.710000000001,1074020.0,526,552,897,1006,1346,862,211,717,107,1238,520,319,1254,24,444,102,86,691,85,691
Marmarth,ND,8228,26.700000000000003,5909.97,20368.0,452,1184,1040,299,419,363,396,999,1119,645,280,148,133,1362,1342,1187,472,268,1331,268
Marshall,IL,316712,127.30000000000001,5914.874999999999,926815.12,939,682,299,1230,260,435,753,586,383,432,41,1063,784,86,1349,104,227,1020,533,1020
Marshall,TX,1484912,68.0,4407.15,1742221.84,303,667,1098,584,1136,196,463,63,553,1235,739,300,1232,1312,985,1183,982,806,714,806
Martinsville,VA,1395812,81.80000000000001,3571.4700000000003,313935.6,1205,134,239,672,1181,74,363,58,554,111,1139,80,3,858,852,107,241,756,1258,756
Marysville,CA,1358632,69.69999999999999,4798.58,5436663.12,1341,465,603,1346,96,559,904,346,368,110,1126,31,799,880,0,1180,492,572,1373,572
Mason,TX,153296,48.8,5049.120000000001,683050.56,697,533,694,1128,474,1113,972,75,561,458,1335,637,384,1143,308,110,1366,1365,241,1365
Matthews,NC,2932204,36.599999999999994,4823.460000000001,6062791.4399999995,137,161,1039,552,536,362,1024,1120,946,789,1331,258,606,444,333,1175,253,800,97,800
Mattoon,IL,955592,73.5,5627.05,1516671.44,1123,346,270,1096,788,140,1251,1159,1372,1291,621,377,79,594,307,1174,121,1371,392,1371
Maunabo,PR,527032,193.5,1854.21,150600.87999999998,945,914,797,571,83,478,63,390,229,698,1336,517,338,1066,812,112,1064,159,1033,159
Maxton,NC,645656,125.0,3296.2899999999995,682479.6,127,498,67,1084,1012,1184,998,13,335,51,3,1336,1009,837,544,1169,979,900,571,900
Mayaguez,PR,3907816,169.3,1862.63,755659.36,868,627,1200,1131,380,382,350,576,128,410,911,1102,310,1105,933,1168,1033,446,92,446
Mayesville,SC,66308,114.9,2864.8,374260.88,453,5,184,158,455,607,535,1033,1276,795,849,606,1214,630,174,1165,187,1174,687,1174
Mcarthur,CA,70576,56.0,5001.34,203044.31999999998,571,245,766,1249,1204,488,977,1262,1343,126,1357,508,1101,825,1167,1164,1334,141,663,141
Medford,WI,502876,45.3,5905.08,613687.6,1351,435,73,1035,239,1271,109,327,109,67,698,873,402,1079,988,1159,719,265,750,265
Mediapolis,IA,104060,59.8,5486.72,1143165.3599999999,528,774,810,1363,445,333,338,773,961,1281,143,269,113,922,1346,1158,902,36,608,36
Medical Lake,WA,384692,55.1,5325.929999999999,12860866.879999999,320,1128,140,1032,422,611,951,1161,702,1361,594,90,1314,582,853,1157,786,69,1324,69
Medicine Lodge,KS,108064,42.1,5706.06,143001.52,530,1049,461,1231,119,1262,1365,616,770,75,687,1060,478,1182,891,1155,1290,122,172,122
Medora,IL,52624,23.7,5872.97,644003.2,1077,1347,515,909,1023,1144,724,407,759,1036,1173,1079,704,700,117,1154,838,287,328,287
Memphis,TN,32130164,88.0,3100.03,25858339.76,1029,432,613,691,1029,527,1275,1224,82,887,1235,1318,995,1358,716,1153,246,1221,940,1221
Mena,AR,638044,104.9,5498.240000000001,454711.19999999995,984,1251,5,537,670,614,150,1352,1307,492,702,1116,609,466,1106,117,440,54,1251,54
Mendenhall,MS,433664,103.5,4244.64,597544.08,1177,889,162,310,118,534,311,708,31,197,1097,33,428,806,584,1151,720,845,794,845
Menomonie,WI,1103168,44.3,5705.660000000001,1367874.32,1298,1246,175,228,994,1091,649,657,289,1017,364,771,949,357,305,1150,765,1043,1170,1043
Meraux,LA,193776,77.3,4407.990000000001,1064113.44,22,394,543,1229,181,233,519,676,764,899,56,925,212,1340,48,1143,1171,731,314,731
Meriden,KS,145728,31.299999999999997,5232.139999999999,395129.27999999997,890,114,1090,1090,1075,998,1068,898,1156,551,1083,1326,390,811,1290,1139,1313,808,313,808
Merrill,WI,827288,35.0,5857.03,849797.5199999999,310,1288,1331,520,681,64,653,198,453,664,1338,282,179,1254,931,127,1017,981,1116,981
Merrimack,NH,1111836,32.2,5400.56,13085303.28,538,1203,351,150,250,1196,1009,399,1109,104,912,52,36,152,640,1134,836,976,107,976
Metter,GA,470712,125.2,4327.490000000001,253731.91999999998,391,1026,46,1222,471,696,1350,214,1038,279,1318,274,836,39,150,1132,739,272,652,272
Metz,WV,20592,54.9,5497.650000000001,2939846.5599999996,55,520,688,196,927,956,1017,132,32,705,559,116,296,854,315,138,677,463,1121,463
Miami,FL,75016040,75.8,2362.7599999999998,73256548.8,587,1185,1188,555,977,255,813,752,781,1064,14,1213,1163,454,842,228,887,842,443,842
Miami,MO,14256,68.7,5171.650000000001,647249.2,1235,890,1097,448,1083,669,241,792,900,1106,1106,1151,116,1048,273,0,1194,18,89,18
Miami,OK,779196,71.4,4047.3300000000004,351735.68,512,254,1366,1208,1250,232,1320,314,1116,619,730,991,508,640,1068,578,1067,250,21,250
Middletown,CT,2046924,21.1,5328.170000000001,5342792.0,664,869,941,1331,874,606,1315,634,1131,1154,1247,618,224,1230,822,669,306,307,809,307
Midland,TX,5827492,30.8,3862.86,4666107.68,1118,708,32,591,939,877,737,796,790,1244,233,878,1180,956,196,764,263,114,1262,114
Midlothian,VA,3080000,37.900000000000006,4789.850000000001,10831553.040000001,102,1066,1262,1356,1014,1197,228,133,784,1323,78,831,363,819,723,849,848,1162,458,1162
Milford,NE,139964,64.80000000000001,5353.995,953188.8799999999,1218,578,263,592,156,1272,1143,386,1239,1288,1116,380,929,146,727,763,971,593,0,593
Milford,UT,72468,45.5,5588.230000000001,175313.75999999998,809,1006,87,351,1085,1024,137,552,108,329,765,762,909,491,604,525,208,1033,463,1033
Mill Hall,PA,305844,67.0,5827.130000000001,1086187.9200000002,950,917,1205,404,968,236,198,129,483,185,807,1156,726,485,1147,766,392,20,1235,20
Millersburg,PA,303600,53.800000000000004,4545.64,8043084.72,277,831,1128,11,854,405,1113,697,635,203,582,1108,753,365,142,472,240,1110,269,1110
Milligan,NE,19228,32.6,5828.390000000001,180648.47999999998,634,467,867,238,263,235,156,1055,142,456,844,955,986,1082,1200,448,13,181,473,181
Milnor,ND,57200,37.6,5669.92,535157.6,1065,270,45,752,426,717,1150,1039,1014,1109,663,515,820,154,1310,470,582,992,1188,992
Milton,FL,3628768,46.3,5215.289999999999,4104917.68,364,657,1013,1303,648,152,1210,1256,137,941,695,672,1311,244,335,449,538,945,149,945
Milton,KY,149512,109.5,5546.150000000001,259707.84,808,268,1165,247,1324,727,1053,1242,753,263,855,1138,1207,367,1039,533,303,836,75,836
Milton,PA,513612,36.1,5688.45,510431.51999999996,397,1043,1304,921,1100,277,1287,153,1066,1084,1352,748,1147,1237,784,389,1086,191,509,191
Miltonvale,KS,32648,43.7,5743.55,274717.76,107,940,868,436,1218,764,997,700,221,452,162,765,896,430,97,534,660,1347,753,1347
Milwaukee,WI,34864368,85.1,3855.7300000000005,27066943.759999998,260,775,226,771,158,1371,990,1253,1321,1090,57,1345,977,453,1271,760,1333,263,55,263
Minden,LA,872520,93.80000000000001,4283.410000000001,931328.32,1050,148,190,775,1313,572,1159,1251,217,1310,983,534,166,328,1210,757,664,352,7,352
Minden,NV,451396,43.4,5188.04,1238890.0,245,33,976,206,1253,357,1373,768,25,294,1132,709,12,522,459,333,489,326,426,326
Mineral,VA,397716,35.8,4939.7,977799.12,219,723,407,341,388,243,152,939,118,96,382,597,539,171,890,579,1013,370,777,370
Minong,WI,81796,54.5,5785.949999999999,418562.72,418,91,552,381,161,1295,223,489,685,1009,345,293,1307,721,1311,646,3,1093,982,1093
Minot,ND,2069804,26.5,5343.450000000001,2163365.92,1176,485,1252,1314,293,835,129,911,925,324,1174,750,183,539,765,326,533,97,849,97
Minturn,CO,48796,33.0,4629.5599999999995,1933186.88,419,598,547,924,42,104,436,702,703,968,1098,469,1282,75,607,782,1191,984,376,984
Mission,SD,167640,158.4,778.73,177376.47999999998,559,228,567,991,672,644,531,940,919,739,31,255,710,270,187,580,915,512,582,512
